,Florida,California,Texas,New York,Massachusetts,New Jersey,Arizona,Colorado,Missouri
2001-02-01,117496.39636109375,218698.28960336102,118273.15066764709,167784.68091628028,231887.79999834145,190179.25286637797,145420.15180495163,205447.74804781808,107865.50029219476
2001-03-01,118205.72022372448,220950.54755633682,118042.61532739906,168708.9073794631,234383.82984180853,191682.28992181804,146052.7981862732,207393.480899594,108289.845262883
2001-04-01,119043.6032663976,223750.92468435815,117907.55123754936,169673.8373451016,236962.69128819453,193270.48520786618,146695.9685351694,209287.7519888823,108835.76412203687
2001-05-01,119961.33790938015,226557.09949273887,117952.89996245412,170739.51176191933,239627.0736060995,194837.98057950195,147348.81625135677,211178.2644774892,109483.70676931001
2001-06-01,120919.30491693078,229106.27715606903,118090.4073857307,171915.7599919244,242424.67182038128,196584.20373805755,148007.31716513072,212867.48070516883,110192.1782595003
2001-07-01,121949.14732740315,231492.88299836707,118251.93681128668,173150.6453136139,245391.35726091717,198464.61317394229,148633.8150307786,214533.37827773197,110916.01016994524
2001-08-01,123040.71114060224,233792.4133970252,118397.02729286016,174446.9029217431,248623.97433509925,200540.2512863751,149253.38671991604,216174.45245162238,111579.97612518705
2001-09-01,124172.34955846699,236024.32308839573,118549.6224275754,175714.6994574614,251764.34586282485,202765.95532704346,149876.99606968663,217716.15858052066,112218.10897278313
2001-10-01,125307.0931531114,238111.20669453792,118709.23360303917,177049.10056037898,255112.05256166382,205088.2227194681,150550.8044798885,219063.3569926446,112884.67115449572
2001-11-01,126395.35586928896,240071.70280671003,118825.8515137735,178445.989480898,258400.90472263563,207212.13168083364,151248.95362393456,220161.18170339256,113594.87933353423
2001-12-01,127462.66934479134,241905.01997447983,118920.06517764881,179929.20870472692,261496.91557622087,209126.19308696422,151901.73752546174,221023.46242803973,114315.75529783285
2002-01-01,128426.33460077288,243386.26823901708,118952.21159240404,181393.61530094477,264014.5298219835,210917.30032523503,152447.6267828272,221512.76893838108,114973.18179018644
2002-02-01,129317.73712869121,244900.6587245184,119041.32792291969,182723.08431243734,266171.11646727193,212761.7501041389,152941.92709949557,221951.61407010522,115598.71951900481
2002-03-01,130189.26473544414,246673.21458674638,119264.64080012844,183850.60014343867,268367.9306432461,214646.250633157,153478.7667738161,222579.51194731644,116137.80419842293
2002-04-01,131169.89426668014,249065.01514876602,119657.34741873552,184962.07148245606,270706.2353363862,216545.2353551574,154075.07015135666,223394.53743206873,116651.88185207084
